City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
53,Saint Anthony,US,2020-01-17 00:42:10,45.02,-93.22,1.0,70,1,1.21,clear sky,0.0,0.0
54,Evensk,RU,2020-01-17 00:42:10,61.95,159.23,-7.31,82,99,9.91,overcast clouds,0.0,0.0
55,Cape Town,ZA,2020-01-17 00:39:32,-33.93,18.42,73.0,78,6,19.46,clear sky,0.0,0.0
56,Gizo,SB,2020-01-17 00:42:11,-8.1,156.84,80.6,79,98,11.79,light rain,0.63,0.0
57,Ostrovnoy,RU,2020-01-17 00:42:12,68.05,39.51,8.37,92,76,7.25,broken clouds,0.0,0.0
58,Rincon,US,2020-01-17 00:42:05,32.3,-81.24,69.8,46,20,10.29,few clouds,0.0,0.0
59,Namibe,AO,2020-01-17 00:42:13,-15.2,12.15,75.47,80,91,7.52,overcast clouds,0.0,0.0
60,Stuttgart,DE,2020-01-17 00:40:09,48.78,9.18,45.0,90,0,1.01,clear sky,0.0,0.0
61,Merauke,ID,2020-01-17 00:42:14,-8.47,140.33,85.17,73,64,7.54,broken clouds,0.0,0.0
62,Cayenne,GF,2020-01-17 00:42:14,4.93,-52.33,76.05,93,43,4.65,light rain,0.25,0.0
63,Kodinsk,RU,2020-01-17 00:42:15,58.69,99.18,15.53,93,99,8.03,light snow,0.0,0.13
64,Broken Hill,AU,2020-01-17 00:42:15,-31.95,141.43,71.22,36,0,17.4,clear sky,0.0,0.0
65,Hobart,AU,2020-01-17 00:42:15,-42.88,147.33,59.0,65,81,1.99,broken clouds,0.0,0.0
66,Dalbandin,PK,2020-01-17 00:42:15,28.89,64.41,37.51,65,39,3.47,scattered clouds,0.0,0.0
67,Hermanus,ZA,2020-01-17 00:42:16,-34.42,19.23,70.0,92,34,1.99,scattered clouds,0.06,0.0
68,Kapaa,US,2020-01-17 00:41:30,22.08,-159.32,75.0,59,45,3.0,moderate rain,0.0,0.0
69,Bredasdorp,ZA,2020-01-17 00:42:17,-34.53,20.04,71.6,88,52,2.24,light rain,0.13,0.0
70,Zykovo,RU,2020-01-17 00:42:17,55.95,93.15,13.87,77,47,10.63,scattered clouds,0.0,0.0
71,Inhambane,MZ,2020-01-17 00:42:17,-23.86,35.38,81.45,77,13,7.58,few clouds,0.0,0.0
72,Alexandria,EG,2020-01-17 00:41:27,31.22,29.96,53.92,93,1,8.19,clear sky,0.0,0.0
73,Dom Pedrito,BR,2020-01-17 00:42:18,-30.98,-54.67,64.85,46,51,7.92,broken clouds,0.0,0.0
74,Sao Joao Da Barra,BR,2020-01-17 00:42:18,-21.64,-41.05,77.88,91,55,14.61,light rain,1.56,0.0
75,Saint-Joseph,RE,2020-01-17 00:42:19,-21.37,55.62,78.8,78,78,5.82,broken clouds,0.0,0.0
76,Puerto Carreno,CO,2020-01-17 00:42:19,6.19,-67.49,75.61,85,85,1.48,overcast clouds,0.0,0.0
77,Howard Springs,AU,2020-01-17 00:42:20,-12.5,131.05,90.0,79,100,1.01,overcast clouds,0.0,0.0
78,Kabo,CF,2020-01-17 00:42:20,7.7,18.63,72.19,20,51,4.56,broken clouds,0.0,0.0
79,Mandalgovi,MN,2020-01-17 00:42:21,45.76,106.27,3.18,85,39,5.61,scattered clouds,0.0,0.0
80,Puerto Ayora,EC,2020-01-17 00:42:21,-0.74,-90.35,75.99,70,55,1.01,broken clouds,0.0,0.0
81,Mbandaka,CD,2020-01-17 00:42:21,0.05,18.26,76.86,65,90,2.35,overcast clouds,0.0,0.0
82,Abu Samrah,SY,2020-01-17 00:42:21,35.3,37.18,45.16,85,99,21.07,light rain,0.25,0.0
83,Comodoro Rivadavia,AR,2020-01-17 00:42:22,-45.87,-67.5,63.05,56,0,12.95,clear sky,0.0,0.0
84,Carnarvon,AU,2020-01-17 00:42:22,-24.87,113.63,76.15,85,0,9.71,clear sky,0.0,0.0
85,Palembang,ID,2020-01-17 00:42:23,-2.92,104.75,76.87,92,100,0.63,light rain,1.94,0.0
86,Muros,ES,2020-01-17 00:42:23,42.78,-9.06,54.0,74,15,15.99,light rain,1.19,0.0
87,Atuona,PF,2020-01-17 00:42:24,-9.8,-139.03,81.93,72,35,20.02,light rain,0.12,0.0
88,Vostok,RU,2020-01-17 00:42:24,46.49,135.88,-7.51,95,100,4.65,overcast clouds,0.0,0.0
89,Butaritari,KI,2020-01-17 00:42:25,3.07,172.79,84.42,78,84,15.86,broken clouds,0.0,0.0
90,Saint-Philippe,RE,2020-01-17 00:42:25,-21.36,55.77,78.8,78,80,5.82,light rain,1.25,0.0
91,Vadso,NO,2020-01-17 00:42:26,70.07,29.75,25.75,87,100,11.72,light snow,0.0,0.37
92,Pennadam,IN,2020-01-17 00:42:26,11.4,79.23,68.04,88,0,4.47,clear sky,0.0,0.0
93,Bathsheba,BB,2020-01-17 00:42:27,13.22,-59.52,77.81,80,4,15.55,clear sky,0.0,0.0
94,Severo-Kurilsk,RU,2020-01-17 00:42:27,50.68,156.12,18.3,89,96,21.56,light snow,0.0,0.44
95,Ribeirao Das Neves,BR,2020-01-17 00:42:27,-19.77,-44.09,75.47,70,100,0.83,moderate rain,5.5,0.0
96,Assiniboia,CA,2020-01-17 00:39:29,49.63,-105.98,-2.94,93,100,13.96,overcast clouds,0.0,0.0
97,General Roca,AR,2020-01-17 00:42:26,-39.03,-67.58,77.27,9,0,9.55,clear sky,0.0,0.0
98,Hilo,US,2020-01-17 00:42:29,19.73,-155.09,75.99,99,100,5.99,moderate rain,0.0,0.0
99,Hokitika,NZ,2020-01-17 00:42:29,-42.72,170.97,60.21,81,0,7.96,clear sky,0.0,0.0
100,Lebu,CL,2020-01-17 00:42:30,-37.62,-73.65,60.62,59,0,10.96,clear sky,0.0,0.0
101,Nishihara,JP,2020-01-17 00:42:30,26.18,127.76,69.01,77,0,10.0,clear sky,0.0,0.0
102,Husavik,IS,2020-01-17 00:42:31,66.04,-17.34,30.2,74,49,21.92,scattered clouds,0.0,0.0
103,Hay River,CA,2020-01-17 00:42:32,60.82,-115.8,-27.4,67,75,2.75,mist,0.0,0.0
104,Adrar,MR,2020-01-17 00:42:33,20.5,-10.07,60.89,18,63,13.31,broken clouds,0.0,0.0
105,Arraial Do Cabo,BR,2020-01-17 00:42:33,-22.97,-42.03,81.0,84,79,2.08,light rain,0.69,0.0
106,Mount Gambier,AU,2020-01-17 00:42:33,-37.83,140.77,57.7,61,92,10.89,overcast clouds,0.0,0.0
107,Bay Roberts,CA,2020-01-17 00:42:34,47.6,-53.26,16.0,43,0,1.01,clear sky,0.0,0.0
108,Provideniya,RU,2020-01-17 00:42:34,64.38,-173.3,8.2,95,100,7.83,light snow,0.0,0.31
109,Tuatapere,NZ,2020-01-17 00:42:34,-46.13,167.68,73.69,33,37,4.23,scattered clouds,0.0,0.0
