City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
53,Hanumangarh,IN,2020-01-13 03:49:40,29.58,74.32,59.54,35,100,1.59,light rain,0.25,0.0
54,Punta Arenas,CL,2020-01-13 03:49:40,-53.15,-70.92,53.6,81,79,11.41,broken clouds,0.0,0.0
55,Korla,CN,2020-01-13 03:49:41,41.76,86.15,30.99,94,100,4.0,overcast clouds,0.0,0.0
56,Bambous Virieux,MU,2020-01-13 03:49:42,-20.34,57.76,78.01,94,20,12.35,shower rain,0.0,0.0
57,Port Elizabeth,ZA,2020-01-13 03:49:42,-33.92,25.57,71.6,94,75,6.93,broken clouds,0.0,0.0
58,Kindu,CD,2020-01-13 03:49:43,-2.95,25.95,68.11,99,96,2.15,overcast clouds,0.0,0.0
59,Saint-Augustin,CA,2020-01-13 03:49:43,51.23,-58.65,7.38,79,100,26.64,overcast clouds,0.0,0.0
60,Port Shepstone,ZA,2020-01-13 03:49:44,-30.74,30.45,69.73,92,98,2.8,overcast clouds,0.0,0.0
61,Ketchikan,US,2020-01-13 03:49:45,55.34,-131.65,19.4,56,1,11.41,clear sky,0.0,0.0
62,Esperance,AU,2020-01-13 03:45:00,-33.87,121.9,69.8,60,90,14.99,overcast clouds,0.0,0.0
63,San Quintin,MX,2020-01-13 03:49:46,30.48,-115.95,56.75,80,100,10.89,overcast clouds,0.0,0.0
64,Dikson,RU,2020-01-13 03:49:46,73.51,80.55,-8.77,96,61,10.67,broken clouds,0.0,0.0
65,Lebu,CL,2020-01-13 03:46:31,-37.62,-73.65,57.51,88,55,8.16,broken clouds,0.0,0.0
66,General Roca,AR,2020-01-13 03:46:50,-39.03,-67.58,73.4,56,40,6.93,scattered clouds,0.0,0.0
67,Ponta Do Sol,PT,2020-01-13 03:49:49,32.67,-17.1,59.0,72,20,6.93,few clouds,0.0,0.0
68,Hyeres,FR,2020-01-13 03:49:49,43.12,6.12,41.0,65,86,3.36,overcast clouds,0.0,0.0
69,Daru,PG,2020-01-13 03:47:05,-9.08,143.21,76.95,90,100,3.04,overcast clouds,0.0,0.0
70,Kenai,US,2020-01-13 03:46:27,60.55,-151.26,17.01,85,90,6.93,light snow,0.0,0.0
71,Alta Floresta,BR,2020-01-13 03:49:50,-9.88,-56.09,70.36,97,37,2.53,scattered clouds,0.0,0.0
72,Lagunas,PE,2020-01-13 03:49:50,-5.23,-75.68,72.03,95,10,1.88,clear sky,0.0,0.0
73,Nouakchott,MR,2020-01-13 03:47:49,18.09,-15.98,59.0,18,98,9.17,overcast clouds,0.0,0.0
74,Recreio,BR,2020-01-13 03:49:52,-21.52,-42.47,72.0,99,100,1.63,overcast clouds,0.0,0.0
75,Cherskiy,RU,2020-01-13 03:49:52,68.75,161.3,-10.97,98,100,8.14,light snow,0.0,0.38
76,Grand Gaube,MU,2020-01-13 03:49:52,-20.01,57.66,78.01,94,20,11.61,shower rain,0.0,0.0
77,Mount Gambier,AU,2020-01-13 03:49:53,-37.83,140.77,86.0,28,0,12.75,clear sky,0.0,0.0
78,Bluff,NZ,2020-01-13 03:49:53,-46.6,168.33,59.0,58,0,13.0,clear sky,0.0,0.0
79,Labuhan,ID,2020-01-13 03:49:54,-6.88,112.21,84.07,75,98,10.8,overcast clouds,0.0,0.0
80,Khasan,RU,2020-01-13 03:49:54,42.43,130.64,16.43,65,16,13.13,few clouds,0.0,0.0
81,Port Alfred,ZA,2020-01-13 03:49:55,-33.59,26.89,71.01,96,23,6.8,few clouds,0.0,0.0
82,Pingliang,CN,2020-01-13 03:49:55,35.54,106.69,17.82,80,97,4.83,overcast clouds,0.0,0.0
83,Tandalti,SD,2020-01-13 03:49:56,13.02,31.87,59.32,26,0,10.33,clear sky,0.0,0.0
84,Kuryk,KZ,2020-01-13 03:49:57,43.2,51.65,44.89,88,100,9.19,overcast clouds,0.0,0.0
85,Coos Bay,US,2020-01-13 03:49:58,43.37,-124.22,44.6,75,90,16.11,light rain,0.0,0.0
86,Vilyuysk,RU,2020-01-13 03:49:59,63.76,121.62,-11.25,97,56,5.95,broken clouds,0.0,0.0
87,Saint-Philippe,RE,2020-01-13 03:45:11,-21.36,55.77,82.4,61,0,3.36,clear sky,0.0,0.0
88,Mehran,IR,2020-01-13 03:50:00,33.12,46.16,33.8,74,40,2.24,scattered clouds,0.0,0.0
89,Ovre Ardal,NO,2020-01-13 03:50:00,61.32,7.8,18.12,96,100,10.31,light snow,0.0,1.0
90,Katsuura,JP,2020-01-13 03:50:00,35.13,140.3,55.99,66,20,4.7,few clouds,0.0,0.0
91,Bongor,TD,2020-01-13 03:50:01,10.28,15.37,68.58,26,8,5.32,clear sky,0.0,0.0
92,Vaini,TO,2020-01-13 03:50:02,-21.2,-175.2,84.2,79,75,10.29,broken clouds,0.0,0.0
93,New Norfolk,AU,2020-01-13 03:50:02,-42.78,147.06,89.01,18,20,12.75,few clouds,0.0,0.0
94,Hobyo,SO,2020-01-13 03:50:03,5.35,48.53,77.94,72,55,17.25,light rain,0.13,0.0
95,Taywarah,AF,2020-01-13 03:50:03,33.35,64.42,3.7,99,61,2.08,broken clouds,0.0,0.0
96,Lebanon,US,2020-01-13 03:50:03,36.21,-86.29,45.0,100,20,2.84,few clouds,0.0,0.0
97,Matara,LK,2020-01-13 03:50:04,5.95,80.54,78.89,78,44,1.81,scattered clouds,0.0,0.0
98,Svetlaya,RU,2020-01-13 03:50:04,46.54,138.33,14.58,54,6,4.34,clear sky,0.0,0.0
99,Peleduy,RU,2020-01-13 03:50:04,59.63,112.74,-2.07,96,70,4.09,broken clouds,0.0,0.0
100,Plainview,US,2020-01-13 03:45:47,40.78,-73.47,50.0,71,1,6.58,clear sky,0.0,0.0
101,Mangrol,IN,2020-01-13 03:50:05,21.12,70.12,73.44,81,75,18.88,light rain,0.69,0.0
102,Banda Aceh,ID,2020-01-13 03:50:05,5.56,95.32,84.36,60,0,3.87,clear sky,0.0,0.0
103,Santa Isabel Do Rio Negro,BR,2020-01-13 03:50:06,-0.41,-65.02,77.29,73,30,1.07,scattered clouds,0.0,0.0
104,Puerto Ayora,EC,2020-01-13 03:50:06,-0.74,-90.35,77.0,82,81,5.01,broken clouds,0.0,0.0
105,Belluno,IT,2020-01-13 03:50:06,46.15,12.22,37.0,92,100,1.12,overcast clouds,0.0,0.0
106,Saint Andrews,US,2020-01-13 03:50:07,34.05,-81.13,66.2,100,90,6.93,light rain,0.0,0.0
107,Beloha,MG,2020-01-13 03:50:07,-25.17,45.05,73.02,81,0,8.84,clear sky,0.0,0.0
108,Bosanska Gradiska,BA,2020-01-13 03:50:08,45.14,17.25,23.0,100,75,2.24,fog,0.0,0.0
109,Mbandaka,CD,2020-01-13 03:50:08,0.05,18.26,71.11,78,11,1.97,few clouds,0.0,0.0
110,Taltal,CL,2020-01-13 03:50:09,-25.4,-70.48,60.37,87,0,0.13,clear sky,0.0,0.0
111,Isangel,VU,2020-01-13 03:50:10,-19.55,169.27,84.2,74,75,14.99,broken clouds,0.0,0.0
112,Gushikawa,JP,2020-01-13 03:50:10,26.35,127.87,68.0,52,75,14.99,broken clouds,0.0,0.0
113,Lagoa,PT,2020-01-13 03:50:10,39.05,-27.98,60.22,79,100,31.21,overcast clouds,0.0,0.0
114,Oxchuc,MX,2020-01-13 03:50:11,16.85,-92.42,60.26,99,80,1.79,light rain,0.88,0.0
115,Port Lincoln,AU,2020-01-13 03:50:11,-34.73,135.87,83.7,32,0,8.66,clear sky,0.0,0.0
116,Hithadhoo,MV,2020-01-13 03:45:31,-0.6,73.08,81.77,76,99,12.41,moderate rain,3.5,0.0
117,Bonthe,SL,2020-01-13 03:50:12,7.53,-12.51,75.99,88,33,3.47,scattered clouds,0.0,0.0
118,Richards Bay,ZA,2020-01-13 03:50:12,-28.78,32.04,77.58,80,0,3.89,clear sky,0.0,0.0
119,Balaipungut,ID,2020-01-13 03:50:13,1.05,101.28,80.6,88,75,9.17,broken clouds,0.0,0.0
120,Ust-Kulom,RU,2020-01-13 03:50:13,61.69,53.69,31.75,95,100,11.21,light snow,0.0,0.75
121,Rio Gallegos,AR,2020-01-13 03:46:11,-51.62,-69.22,59.0,93,75,6.93,broken clouds,0.0,0.0
122,Vila Franca Do Campo,PT,2020-01-13 03:50:14,37.72,-25.43,57.2,71,20,17.22,few clouds,0.0,0.0
